X座標,Y座標,施設名（施,EOF
34.59308906,135.4995558,遠里小野3丁目第2児童遊園（おりおのさんちょうめだいにじどうゆうえん）,EOF
34.59755292,135.4901969,清水丘ふれあい公園（しみずがおかふれあいこうえん）,EOF
34.597039,135.4921063,おりおの南（おりおのみなみ）,EOF
34.59662489,135.4896168,清水丘児童遊園（しみずがおかじどうゆうえん）,EOF
34.59117189,135.508406,浅香中央運動場（あさかちゅうおううんどうじょう）,EOF
34.59220314,135.5112639,住吉スポーツセンター（すみよしすぽーつせんたー）,EOF
34.59209406,135.5112417,住吉トレーニングルーム（すみよしとれーにんぐるーむ）,EOF
34.59197797,135.511239,住吉屋内プール（すみよしおくないぷーる）,EOF
34.59262208,135.5148139,苅田10（かりたじゅう）,EOF
34.59369397,135.5148173,苅田南児童遊園（かりたみなみじどうゆうえん）,EOF
34.59494186,135.5071279,杉本町公園（すぎもとちょうこうえん）,EOF
34.59756106,135.5052219,山之内元町児童遊園（やまのうちもとまちじどうゆうえん）,EOF
34.59386886,135.5177217,庭井2号公園（にわい２ごうこうえん）,EOF
34.59722794,135.516125,苅田南（かりたみなみこうえん）,EOF
